id,speaker,dialog,speed,time,reply1,reply2,goto1,goto2
1,p,어서오세요~,3,1,,,,
2,p,,3,-1,,,,
3,v,"저, 아까 이거 샀었던 사람인데요...",3,1,,,,
4,v,한 개 먹어봤더니 너무 맛이 없다고 환불하라고 하더라고요.,3,1,,,,
5,v,먹었던 것 빼고 여기있는 것들 환불 될 까요?,3,1,,,,
6,p,영수증을 주셔야 환불이 가능해요.,3,1,,,,
7,v,어! 잠시만요...,3,4,,,,
8,v,여기 영수증이요.,3,-1,,,,
9,v,"어! 잠시만요. 아, 그게. 아까 일행한테 물어보니까",3,1,,,,
10,v,레오레만 환불이고 오이칩은 사오래요.,3,1,,,,
11,v,오이칩은 다시 계산 해주실 수 있나요?,3,1,,,,
12,p,,3,-1,,,,
13,v,아! 진짜 죄송한데요. 오이칩은 한 개만 사오래요.,3,1,,,,
14,v,환불 좀 해주시겠어요?,3,1,,,,
15,p,영수증을 주셔야 환불이 가능해요.,3,1,,,,
16,v,헉 잠시만요. 어디있더라.,3,6,,,,
17,v,"와, 감사합니다!",3,-1,,,,
1001,v,금액이 다른 것 같은데요?,3,-1,,,,
