id,speaker,dialog,speed,time,reply1,reply2,goto1,goto2
1,p,어서오세요~,3,-1,,,,
2,v,계산이요!,4,-1,,,,
3,p,11900원입니다.,3,1,,,,
4,v,"우와, 비싸네요. 잠시만요...",3,3,,,,
5,v,"7000원, 7500원...",1,5,,,,
6,v,"어, 동전 다 떨어졌다.",3,1,,,,
7,v,"그 뭐지, 혹시 제가 얼마까지 냈죠?",3,-1,8900원,8800원,8,-1
8,p,"8900원 내셨습니다, 손님.",3,2,,,,
9,v,"아, 그래요? 진짜 비싸네... 잠시만요...",3,5,,,,
10,v,여기요.,4,5,,,,
11,p,"손님, 어린이은행 지폐로는 결제하실 수 없습니다.",3,1,,,,
12,v,네? 어린이은행이 뭐가 어때서요?,4,1,,,,
13,v,이것도 돈은 돈인데요.,4,-1,나가.,"죄송합니다, 손님.",-1,14
14,p,"죄송합니다, 손님... 카드나 현금으로만 결제 가능하십니다.",3,2,,,,
15,v,진짜 귀찮게 하시네요... ,2,1,,,,
16,v,하아... 여기요.,1,-1,,,,
17,p,감사합니다.,3,1,,,,
18,v,어린이은행 무시하지 마세요.,4,2,,,,
