id,speaker,dialog,speed,time,reply1,reply2,goto1,goto2
1,p,어서오세요~,3,-1,,,,
2,v,"그럼 어서 오지, 어서 가냐?",3,1,,,,
3,v,마일드 한 갑 줘.,3,-1,,,,
4,p,4500원입니다.,3,1,,,,
5,v,"아, 근데 내가 지금 지갑을 두고 와서... 외상으로 좀 달아 줘.",3,-1,알겠습니다.,안 됩니다.,-1,6
6,p,"죄송하지만 외상은 안 됩니다, 손님.",3,1,,,,
7,v,뭐가 안 돼? 나 여기 사장이랑 아는 사이야 인마.,4,1,,,,
8,v,어저께도 같이 밥 묵고 싸우나도 같이 가고 다 했다고.,3,1,,,,
9,v,그냥 어른이 하라면 얌전하게 네~ 알겠습니다 하면 될 것이지.,3,1,,,,
10,v,이래서 요즘 것들은 말이야...,3,1,,,,
11,p,이러시면 곤란한데요...,3,1,,,,
12,v,"아 그런 건 모르겠고, 나 바쁘니까 빨리 해 줘.",4,-1, 안 돼.,네...,13,-1
13,p,안 돼.,3,1,,,,
14,v,...안 돼? 민증에 잉크도 안 마른 게 어디서 어른한테 반말이야?,3,1,,,,
15,p,너도 반말했잖아.,3,1,,,,
16,v,어딜 따박따박 대들어?!,3,1,,,,
17,v,하여간 요즘 애들은 기본적인 예의를 몰라 예의를. 어?,3,1,,,,
18,v,나 때는 말이야~ 어른이 뭐 말하면 거기 말대꾸하는 거 상상도 못했어.,3,1,,,,
19,v,니들 지금 가만히 서서 편하게 일하는 게 누구 덕분인 줄 알아? ,3,1,,,,
20,v,세상 차암~ 좋아졌어~,3,-1,맞을래?,경찰을...,-1,21
21,p,"자꾸 이렇게 요구하시면 경찰을 부를 수밖에 없습니다, 손님.",3,1,,,,
22,v,뭐 인마? 경찰? 웃기고 있네. 그래! 불러라 불러! ,3,1,,,,
23,v,똥이 더러워서 피하지 무서워서 피하나.,3,1,,,,
24,v,"너 이번만 봐주는 거야! 내가 바빠서 다행인 줄 알아. 떼잉, 쯧...",3,1,,,,
