id,speaker,dialog,speed,time,reply1,reply2,goto1,goto2
1,p,어서오세요~,3,-1,,,,
2,v,Hello. 이거 carculate 해줘요.,3,-1,,,,
3,p,4700원입니다.,3,1,,,,
4,v,Excuse me? 나 ear 좋지 못해. 다시 speak 해 줘요.,3,1,,,,
5,p,4700원입니다.,3,1,,,,
6,v,Pardon? 그냥 English로 부탁해요. ,3,-1,4700원입니다.,포 따우전...,-1,7
7,p,포 따우전 세븐 헌드레드 원...,3,1,,,,
8,v,Wow. 나 triangle gimbap 이렇게 expensive한 줄 몰랐어.,3,1,,,,
9,v,Can you shave them?,3,1,,,,
10,p,네?,3,1,,,,
11,v,"Shave, shave! 몰라? 아, dapdap...",3,1,,,,
12,p,다시 한 번 말씀해주시겠어요?,3,1,,,,
13,v,아니... 깎아 달라고요. shave가 '깎다'잖아요.,4,1,,,,
14,v,이 정도는 웬만한 수능 영단어 책에 다 나오는데...,3,1,,,,
15,v,"아, 이게 아니라...! What did I say? 내 mind 좀 봐.",3,1,,,,
16,p,Okay. 나 wide 아량의 소유자. 그냥 buy 할게요.,3,1,,,,
17,v,Here...,3,-1,,,,
18,p,감사합니다.,3,1,,,,
19,v,"Good bye, see you next time~",3,1,,,,
