id,speaker,dialog,speed,time,reply1,reply2,goto1,goto2
1,v,"아, 그.. 자네...",3,1,,,,
2,p,사장님 어서오세요.,3,1,,,,
3,v,오늘 하루동안 수고 많았네.,3,1,,,,
4,p,감사합니다.,3,1,,,,
5,p,저 이제 퇴근해도 되나요?,3,1,,,,
6,v,아... 그렇긴 한데...,3,2,,,,
7,v,자네에게 말해줄 게 있거든.,3,1,,,,
8,v,"아까 나한테 연락이 왔는데, 오늘 왔어야 할 알바생이더라고.",3,1,,,,
9,p,네?,3,1,,,,
10,v,자네 혹시 일하게 된 편의점이 여기가 맞나? YGJ편의점 말이야.,3,1,,,,
11,p,어...,2,1,,,,
12,p,여기 CK25 아니었나요???,3,1,,,,
13,v,여긴 YGJ일세...,3,1,,,,
14,p,...,1,2,,,,
15,v,...,1,2,,,,
16,p,(어쩐지 계약서도 안 쓰고 바로 일을 시키더니...),3,2,,,,
17,v,옆집 CK25랑 자네가 착각을 한 것 같아.,3,1,,,,
18,v,그래서 말인데...,3,2,,,,
19,v,자네에게 오늘 보수는 지급하지 못할 것 같네.,3,1,,,,
20,p,예?,3,1,,,,
21,v,미안하게 됐네.,3,1,,,,
22,p,그래도 저는 일을 했는데 오늘치는 받아야하는 것 아닌가요?,3,1,,,,
23,v,자네가 잘못 왔으니 자네 책임이지.,3,1,,,,
24,v,자네한테 돈 준다고 한 적은 없으니까 말일세.,3,1,,,,
25,p,예?,3,1,,,,
26,v,사회생활이 다 그런 거야.,3,1,,,,
27,v,좋은 경험 했다고 생각하게.,3,1,,,,
28,p,아니 무슨 그런 말도 안되는...!,3,1,,,,
29,p,"오늘 동전도 하나하나 세고, 위조 신분증도 걸러내고,",3,1,,,,
30,p,"카드 한도초과로 물건 계속 빼는 진상도 상대하고,",3,1,,,,
31,p,왔다 갔다 하시는 분도 상대하고...,3,1,,,,
32,p,"환불도 하고, 엄청 착실히 일했는데요?",3,1,,,,
33,p,정말 많은 일을 했다고요.,3,1,,,,
34,v,"오, 그래. 오늘 많이 배웠으니 다른 곳에서도 써먹을 수 있겠구만",3,1,,,,
35,v,자네는 돈 대신 값진 경험을 얻은 거야!,3,1,,,,
36,p,아니 그래도 이건 좀....!,3,1,,,,
37,v,이건 좀 아니면 뭐 어쩔 건가.,3,1,,,,
38,v,여기 사장은 나야.,3,1,,,,
39,v,계약서 쓴 것도 아니잖아.,3,1,,,,
40,v,"대신 뭐, 오늘 폐기분은 자네한테 주겠네.",3,-1,,,,
41,v,하하. 그렇게 죽일 듯 쳐다보지 말게,3,1,,,,
42,v,눈빛만 보면 아주 뭐 던지기라도 하겠어.,3,-1,,,,
43,v,악! 지금 뭐하는 겐가?,3,-1,,,,
44,v,윽! 어디서 버릇없이...,3,-1,,,,
45,v,"컥. 겨, 경찰을 부르는 수가 있어!",3,-1,,,,
46,v,"악! 자네, 후회할 거야!",3,-1,,,,
47,v,"그만, 그만하게!!",3,-1,,,,
48,v,제발 그만... 이러다 나 죽어...,3,-1,,,,
49,v,내가 잘못했네!,3,-1,,,,
