id,speaker,dialog,speed,time,reply1,reply2,goto1,goto2
1,p,어서오세요~,3,1,,,,
2,p,,3,-1,,,,
3,v,민트씨 6미리 한갑 주세요.,3,1,,,,
4,p,신분증 좀 보여주시겠어요?,3,1,,,,
5,v,"네, 여기요.",3,1,,,,
6,p,,3,-1,,,,
7,p,"손님, 성함이...",3,1,,,,
8,v,"아, 유개장에밤마라모고수입니다.",3,-1,이름이 좀...,그럴 수 있지.,9,14
9,p,음... 죄송합니다. 판매가 어려울 것 같네요.,3,1,,,,
10,v,하... 오늘도 몇 번째야. 진짜 제 이름 맞다고요.,3,1,,,,
11,v,"성이 유, 이름이 개장에밤마라모고수요.",3,1,,,,
12,v,개명을 하든가 해야지 서러워서 못 살겠네 진짜...,3,1,,,,
13,v,당신이 이런 이름을 갖고 태어난 서러움을 알기나 해요?,4,1,,,,
14,p,...알겠습니다. 잠시만요.,3,3,,,,
15,p,,3,-1,,,,
16,p,4500원입니다.,3,1,,,,
17,v,"네, 여기요.",3,-1,,,,
18,p,감사합니다.,3,1,,,,
19,v,안녕히 계세요!,3,1,,,,
1001,v,"아, 한 개만 계산이요.",3,-1,,,,
