id,speaker,dialog,speed,time,reply1,reply2,goto1,goto2
1,v,새로 온 알바생이군.,3,2,,,,
2,v,난 사장이야. 이번이 첫 출근이지?,3,2,,,,
3,v,"자네, 일은 처음인가? 설명이 필요한가?",3,-1,네,아니오,4,-1
4,v,그래. 한번만 설명 할테니 잘 듣도록하게.,3,2,,,,
5,v,편의점이니까 말이야. 손님이 상품을 들고 올 거야.,3,2,,,,
6,v,손님이 카운터에 물건을 올리면 계산을 하는거지.,3,2,,,,
7,v,자. 이걸 계산해줘.,3,3,,,,
8,v,오른쪽에 스캐너가 보이지? 그걸 잡아.,3,-1,,,,
9,v,좋아. 그걸로 상품의 바코드를 찍는 거야.,3,3,,,,
10,v,상품을 들고 바코드를 스캐너로 찍어봐.,3,2,,,,
11,v,컨트롤러의 트리거 버튼을 누르면 바코드가 스캔될 거야.,3,-1,,,,
12,v,좋아. 이제 포스기에 상품이 뜰 거야. ,3,3,,,,
13,v,바코드를 잘못 찍었다면 리셋 버튼을 누르고 다시 찍으면 돼.,3,3,,,,
14,v,제대로 찍은 것 같으면 확인을 눌러.,3,-1,,,,
15,v,"자, 여기 천원이야. 집어볼래?",3,-1,,,,
16,v,집은 돈을 돈통에 넣어봐.,3,-1,,,,
17,v,좋아. 그 다음엔 손님이 낸 금액을 입력해봐.,3,2,,,,
18,v,혹시 잘못 입력했다면 리셋을 누르고 다시 하면 돼.,3,3,,,,
19,v,손님이 낸 금액을 정확하게 입력하고 승인을 눌러. 이해했지?,3,-1,,,,
20,v,좋아. 잘했어,3,2,,,,
21,v,거스름 금액은 기계가 알아서 계산하고 처리하니까 신경쓰지 않아도 돼.,3,3,,,,
22,v,카드 손님은 내신 금액을 입력할 필요없이 승인 버튼만 누르면 돼.,3,3,,,,
23,v,그럼 수고해. ,3,3,,,,
1001,v,잘못 적은 것 같아. 아까 받았던 금액을 입력해 봐!,3,-1,,,,
